SQL_category_name,SQL_title,SQL_rating,SQL_price_gbp,SQL_price_inr,SQL_in_stock,PANDAS_category_name,PANDAS_title,PANDAS_rating,PANDAS_price_gbp,PANDAS_price_inr,PANDAS_in_stock
Mystery,Murder at the 42nd Street Library (Raymond Ambler #1),4,54.36,5734.98,True,Mystery,Murder at the 42nd Street Library (Raymond Ambler #1),4,54.36,5734.98,True
Mystery,Playing with Fire,3,13.71,1446.41,True,Mystery,Playing with Fire,3,13.71,1446.41,True
Mystery,Poisonous (Max Revere Novels #3),3,26.8,2827.4,True,Mystery,Poisonous (Max Revere Novels #3),3,26.8,2827.4,True
Mystery,Sharp Objects,4,47.82,5045.01,True,Mystery,Sharp Objects,4,47.82,5045.01,True
Mystery,Tastes Like Fear (DI Marnie Rome #3),1,10.69,1127.79,True,Mystery,Tastes Like Fear (DI Marnie Rome #3),1,10.69,1127.79,True
Mystery,That Darkness (Gardiner and Renner #1),1,13.92,1468.56,True,Mystery,That Darkness (Gardiner and Renner #1),1,13.92,1468.56,True
Mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,52.3,5517.65,True,Mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5,52.3,5517.65,True
Mystery,The Cuckoo's Calling (Cormoran Strike #1),1,19.21,2026.66,True,Mystery,The Cuckoo's Calling (Cormoran Strike #1),1,19.21,2026.66,True
Mystery,The Exiled,3,43.45,4583.98,True,Mystery,The Exiled,3,43.45,4583.98,True
Mystery,The Girl In The Ice (DCI Erika Foster #1),3,15.85,1672.18,True,Mystery,The Girl In The Ice (DCI Erika Foster #1),3,15.85,1672.18,True
Mystery,The Girl You Lost,5,12.29,1296.59,True,Mystery,The Girl You Lost,5,12.29,1296.59,True
Mystery,The Last Mile (Amos Decker #2),2,54.21,5719.16,True,Mystery,The Last Mile (Amos Decker #2),2,54.21,5719.16,True
Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),4,44.1,4652.55,True,Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),4,44.1,4652.55,True
Mystery,The Mysterious Affair at Styles (Hercule Poirot #1),4,24.8,2616.4,True,Mystery,The Mysterious Affair at Styles (Hercule Poirot #1),4,24.8,2616.4,True
Mystery,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4,57.7,6087.35,True,Mystery,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4,57.7,6087.35,True
Mystery,The Past Never Ends,4,56.5,5960.75,True,Mystery,The Past Never Ends,4,56.5,5960.75,True
Mystery,The Silkworm (Cormoran Strike #2),5,23.05,2431.78,True,Mystery,The Silkworm (Cormoran Strike #2),5,23.05,2431.78,True
Mystery,The Widow,2,27.26,2875.93,True,Mystery,The Widow,2,27.26,2875.93,True
Mystery,What Happened on Beale Street (Secrets of the South Mysteries #2),5,25.37,2676.54,True,Mystery,What Happened on Beale Street (Secrets of the South Mysteries #2),5,25.37,2676.54,True
Travel,"1,000 Places to See Before You Die",5,26.08,2751.44,True,Travel,"1,000 Places to See Before You Die",5,26.08,2751.44,True
Travel,A Summer In Europe,2,44.34,4677.87,True,Travel,A Summer In Europe,2,44.34,4677.87,True
Travel,A Year in Provence (Provence #1),4,56.88,6000.84,True,Travel,A Year in Provence (Provence #1),4,56.88,6000.84,True
Travel,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,4,49.43,5214.86,True,Travel,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,4,49.43,5214.86,True
Travel,It's Only the Himalayas,2,45.17,4765.44,True,Travel,It's Only the Himalayas,2,45.17,4765.44,True
Travel,Neither Here nor There: Travels in Europe,3,38.95,4109.23,True,Travel,Neither Here nor There: Travels in Europe,3,38.95,4109.23,True
Travel,See America: A Celebration of Our National Parks & Treasured Sites,3,48.87,5155.78,True,Travel,See America: A Celebration of Our National Parks & Treasured Sites,3,48.87,5155.78,True
Travel,The Great Railway Bazaar,1,30.54,3221.97,True,Travel,The Great Railway Bazaar,1,30.54,3221.97,True
Travel,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),1,23.21,2448.66,True,Travel,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),1,23.21,2448.66,True
Travel,Under the Tuscan Sun,3,37.33,3938.31,True,Travel,Under the Tuscan Sun,3,37.33,3938.31,True
Travel,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,2,36.94,3897.17,True,Travel,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,2,36.94,3897.17,True
